ds	vid	docid	20191224	20191225	20191226	20191227
20191224	1688849986558659	w2_AMMAGgaHAAcXRjMIMSRQe689nRJVq	1688849986558659	\N	\N	\N
20191224	1688849986558659	w2_AMMAGgaHAAcXRjMIMSRQe689nRJVq	1688849986558659	\N	\N	\N
20191224	1688849986558659	w2_AMMAGgaHAAcwFtjA6kjQYeexSrJbT	1688849986558659	\N	\N	\N
20191224	1688849986558659	w2_AMMAGgaHAAcwFtjA6kjQYeexSrJbT	1688849986558659	\N	\N	\N
20191224	1688849986568785	w2_AFEAQgaHAActqgNCvI6TqSvL1aE3T	1688849986568785	\N	\N	\N
20191224	1688849986568785	w2_AFEAQgaHAActqgNCvI6TqSvL1aE3T	1688849986568785	\N	\N	\N
20191224	1688849986598528	w2_AIAAtgaHAAcZ4MvvtHpS7KwL7X3Eu	1688849986598528	\N	\N	\N
20191224	1688849986598528	w2_AIAAtgaHAAcZ4MvvtHpS7KwL7X3Eu	1688849986598528	\N	\N	\N
20191223	1688849986622279	w2_AEcAEwaIAAc6CSvKUZpS3OmXupFl9	\N	\N	\N	\N
20191224	1688849986639153	w2_ADEAVQaIAAch0ZwrDFWQoqJWY612p	1688849986639153	\N	\N	1688849986639153
20191224	1688849987431501	w2_AE0AbAaUAAcwnHIw2l0T1mIcivwZh	1688849987431501	\N	\N	\N
20191224	1688849987431501	w2_AE0AbAaUAAcwnHIw2l0T1mIcivwZh	1688849987431501	\N	\N	\N
20191224	1688849987431501	e2_AE0AbAaUAAchM1c4Ug7TXWczzpTXH	1688849987431501	\N	\N	\N
20191224	1688849987431501	e2_AE0AbAaUAAchM1c4Ug7TXWczzpTXH	1688849987431501	\N	\N	\N
20191223	1688849988331003	w2_APsAJQaiAAcdATOZ1CDS60TndIhvy	1688849988331003	1688849988331003	\N	\N
20191223	1688849988331018	w2_AAoAJgaiAAcjdn10W1aQNGJy0rK2U	\N	\N	\N	\N
20191223	1688849988420536	w2_ALgAgwajAAcWbpoOlAGRFKgbEpHIH	\N	\N	\N	\N
20191224	1688849989404326	e2_AKYAhgayAAcKsM2rh1bSnSjN1XKP6	1688849989404326	\N	\N	\N
20191224	1688849989404326	e2_AKYAhgayAAcKsM2rh1bSnSjN1XKP6	1688849989404326	\N	\N	\N
20191224	1688849989408187	w2_ALsAlQayAAc0e01aTIPQSK1AGgcHZ	1688849989408187	\N	\N	\N
20191224	1688849989408187	w2_ALsAlQayAAc0e01aTIPQSK1AGgcHZ	1688849989408187	\N	\N	\N
20191224	1688849989408187	w2_ALsAlQayAAc0ZxSiHHiT5i4sZrsGS	1688849989408187	\N	\N	\N
20191224	1688849989408187	w2_ALsAlQayAAc0ZxSiHHiT5i4sZrsGS	1688849989408187	\N	\N	\N
20191224	1688849990273278	e2_AP4AyAa-AAcjVluyI37TUuIC1org1	1688849990273278	\N	\N	1688849990273278
20191224	1688849990273278	e2_AP4AyAa-AAcjVluyI37TUuIC1org1	1688849990273278	\N	\N	1688849990273278
20191223	1688849990284754	w2_ANIA9Qa-AActqBjIPbwQj6G1XnnEl	\N	\N	\N	\N
20191223	1688849990291571	w2_AHMAEAbAAAcbxk8XLsNScmdCtUqdO	\N	\N	\N	\N
20191223	1688849990291571	w2_AHMAEAbAAAcLjUJJVCiRVec0E7KEo	\N	\N	\N	\N
20191223	1688849990361178	w2_AFoAIAbBAAcz6EC5PU2Slayx3Csc6	\N	\N	1688849990361178	\N
20191223	1688849990361178	w2_AFoAIAbBAAcz6EC5PU2Slayx3Csc6	\N	\N	1688849990361178	\N
20191223	1688849990364346	w2_ALoALAbBAAc058OG1x0Rr2gj9pVc5	1688849990364346	\N	\N	\N
20191224	1688849990394231	e2_AHcAoQbBAAcMHcB6UvGTKGHhnHiqg	1688849990394231	1688849990394231	1688849990394231	1688849990394231
