ds	vid	docid	20191224	20191225	20191226	20191227
20191223	1688850159432625		\N	\N	\N	\N
20191223	1688850159432625		\N	\N	\N	\N
20191224	1688850159548947		1688850159548947	\N	\N	\N
20191224	1688850159548947		1688850159548947	\N	\N	\N
20191223	1688850165707975		\N	\N	\N	\N
20191223	1688850165762389		1688850165762389	\N	\N	\N
20191223	1688850165846102		\N	\N	\N	\N
20191224	1688850166699031		1688850166699031	\N	\N	\N
20191224	1688850166738879		1688850166738879	\N	1688850166738879	\N
20191223	1688850166740416		\N	\N	\N	\N
20191223	1688850167290309		\N	\N	\N	\N
20191224	1688850169703461		1688850169703461	\N	1688850169703461	\N
20191224	1688850169703461		1688850169703461	\N	1688850169703461	\N
20191224	1688850169703461		1688850169703461	\N	1688850169703461	\N
20191224	1688850169703461		1688850169703461	\N	1688850169703461	\N
20191223	1688850170489014		\N	\N	\N	\N
20191223	1688850170842565		1688850170842565	\N	\N	1688850170842565
20191223	1688850170843473		1688850170843473	1688850170843473	1688850170843473	1688850170843473
20191223	1688850172755127		\N	\N	\N	\N
20191224	1688850173851723		1688850173851723	1688850173851723	\N	\N
20191224	1688850173851723		1688850173851723	1688850173851723	\N	\N
20191224	1688850173859644		1688850173859644	\N	\N	\N
20191224	1688850173859644		1688850173859644	\N	\N	\N
20191224	1688850174639938		1688850174639938	\N	\N	\N
20191224	1688850174639938		1688850174639938	\N	\N	\N
20191224	1688850174641277		1688850174641277	\N	\N	\N
20191223	1688850175329304		\N	\N	1688850175329304	1688850175329304
20191223	1688850175329304		\N	\N	1688850175329304	1688850175329304
20191224	1688850176247262		1688850176247262	1688850176247262	\N	1688850176247262
20191223	1688850176746463		\N	\N	\N	\N
20191224	1688850180477425		1688850180477425	\N	\N	\N
20191224	1688850180477425		1688850180477425	\N	\N	\N
20191224	1688850180723107		1688850180723107	\N	\N	\N
20191224	1688850180723107		1688850180723107	\N	\N	\N
20191223	1688850182026391		1688850182026391	\N	\N	\N
20191224	1688850182111278		1688850182111278	\N	\N	\N
20191224	1688850182111278		1688850182111278	\N	\N	\N
20191224	1688850182171311		1688850182171311	\N	\N	\N
20191224	1688850182171311		1688850182171311	\N	\N	\N
20191224	1688850182171369		1688850182171369	\N	\N	\N
20191223	1688850182777154		\N	\N	\N	\N
20191224	1688850182900939		1688850182900939	\N	\N	\N
20191223	1688850183517517		\N	\N	\N	\N
20191224	1688850184907834		1688850184907834	\N	\N	\N
20191224	1688850184907834		1688850184907834	\N	\N	\N
20191224	1688850185042425		1688850185042425	\N	\N	\N
20191224	1688850185884962		1688850185884962	1688850185884962	\N	\N
20191224	1688850185884962		1688850185884962	1688850185884962	\N	\N
20191224	1688850185884962		1688850185884962	1688850185884962	\N	\N
